alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,unknown,,-3.275806321521279,-3.4250084822968807,-3.1317884734382613,0.03793838823409701,0.03254900589763469,0.04363968003684214,0.03651514870882878,0.03150662438035779,0.04177621460449004,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,21.065634938547873,0.92,2.5268587623439647,0.8516131904008426,209,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
USA,['English'],340110988,38.0,-97.0,93.1444,2023,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,unknown,,-2.58527886538956,-2.7107198709949167,-2.4640053382646157,0.07559007915976014,0.06648892721999321,0.08509344049144214,0.07005789250618184,0.06221191234743072,0.07815206750290148,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,17.449397726957166,0.8901359999999999,1.2515026374304483,0.7461762713256133,179,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,unknown,,-2.160799689620398,-2.2748278591514794,-2.049481752840873,0.11550625336905591,0.10281460651028021,0.12880163838361208,0.10285335656303944,0.09276902697944533,0.11323574625538704,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,16.46203770461362,0.342005,0.9032855326579783,-1.1890381637676188,160,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,unknown,,-1.3576692593660609,-1.4688325735633672,-1.2484937394657756,0.257832264845736,0.23019406401973275,0.2869366739076749,0.19903484580158615,0.18286142869259997,0.21536297686446984,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,17.760233059555436,0.26438300000000003,1.361126459672561,-1.4630880074743364,113,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,unknown,,-1.5834557461247467,-1.6917045320389223,-1.4763270684242218,0.20570679008775883,0.1842052735015935,0.22847532443555466,0.16732737441803727,0.15321550795449065,0.18180831006630607,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,15.400912712032026,0.9974729999999999,0.5290533738133838,1.125136979294333,125,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
DEU,['German'],83491249,51.0,9.0,93.5,2024,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,unknown,,-1.9222094709044069,-2.0257380939197325,-1.8209623454240387,0.14657049357914623,0.13189645628232424,0.1618699022127001,0.1265205491848192,0.11559824059729161,0.1376787451475108,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,18.24025238193372,0.935,1.5304172298990768,0.9045717286451647,146,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,unknown,,-1.3931810816721668,-1.4980246410147875,-1.2893735414736895,0.24877940185380412,0.223571358947341,0.27544328389273975,0.1938181882057909,0.17878058709123415,0.20912631707963988,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,12.67888794332868,,-0.43093646031728344,0.0,114,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,unknown,,-1.620182417200804,-1.7225880441930668,-1.5195358341661287,0.1982419436589246,0.17860331698777468,0.21881343010281928,0.16248140137444478,0.1493905359188099,0.1758103784896167,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,17.713758095822914,0.957575,1.3447359061266193,0.984274328702869,128,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,unknown,,-1.31593139921594,-1.4159059034326966,-1.2172518173791886,0.2687105446924544,0.24270564696400262,0.2960426302419718,0.20522007320283545,0.19040316264230217,0.2201833998535477,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,17.131036537197033,0.970631,1.1392246342082155,1.030369440390727,110,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,unknown,,-1.586858419723422,-1.6824466795686146,-1.4928530501447588,0.20490948755811578,0.1859185370323854,0.22473057344696246,0.16684165974076748,0.15437582751446358,0.17949936312499545,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,17.544851613664733,0.9395640000000001,1.285166828117139,0.9206852465483037,126,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
