alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_count,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log10_uk_visits_plus1,bayes_train_std_log10_uk_visits_plus1,bayes_beta_log10_uk_visits_plus1_mean,bayes_beta_log10_uk_visits_plus1_hdi_low,bayes_beta_log10_uk_visits_plus1_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log10_uk_visits_plus1,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log10_uk_visits_plus1,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,,p10,0.05,4.815572229111593,4.815572229111593,1.0,1.25,1.0,0.75,1.25,False,7.550419974793672,9.43802496849209,7.550419974793672,7.550419974793672,1,False,United Kingdom,,25-05-2025,multi,100.0,4.937574844975053,4.898401259243545,4.976475101623224,139.47148649211596,134.07525667450219,144.96250193657355,4.460933305074526e-57,1.602659161208878e-61,7.928750674693694e-57,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,18.053687563920203,0.962988,,0.8823176011515924,0.6668196769362923,0.0,242,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,p10,0.05,4.815572229111593,6.76342806844129,1.0,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,2,False,Spain,,25-05-2025,multi,100.0,4.551243787540876,4.45498966736349,4.646070922869096,94.90897246041587,86.05526166414793,104.17486937188083,1.728515223911439e-35,5.95928815649662e-44,3.642941515214613e-36,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,17.713758095822914,0.957575,6.76342806844129,0.7614631240879565,0.6444166868654109,2.2520067170320277,201,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,p10,0.05,4.815572229111593,6.380934643985607,0.8782767611624652,1.25,1.0,0.75,1.0,False,6.090296533279306,6.090296533279306,6.090296533279306,6.090296533279306,3,False,France,,25-05-2025,multi,100.0,4.627257932239194,4.560322824361925,4.693911173232514,102.31579286114211,95.61434151275856,109.27975731040851,2.782353473763994e-40,3.792740541449562e-46,2.8559011647903067e-40,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,18.010483843551544,0.886538,6.380934643985607,0.8669574646456761,0.350413138802377,1.4954212750765399,217,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,p10,0.05,4.815572229111593,5.936514245134253,0.7368461197582664,1.25,1.0,0.75,1.25,False,5.855514863938101,7.319393579922626,5.855514863938101,5.855514863938101,4,False,United States,,25-05-2025,multi,100.0,5.199197301764476,5.1440803651634495,5.253560480155676,181.22819996943502,171.41377408598956,191.24598521943446,4.4975955422885357e-72,1.676935963991582e-81,6.165801077883465e-73,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,19.64478255760019,0.931444,5.936514245134253,1.4479965771347216,0.5362673180233269,0.616342100428026,247,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,p10,0.05,4.815572229111593,6.221414498679787,0.8275116825886548,1.25,1.0,0.75,1.0,False,5.736917550700415,5.736917550700415,5.736917550700415,5.736917550700415,5,False,Italy,,25-05-2025,multi,100.0,4.647726935477985,4.5912772278188765,4.703267808844224,104.4070195678401,98.62031037232329,110.30704647426602,8.187741011582294e-42,1.3704451616910873e-46,1.4578414350318544e-41,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,17.89182068970841,0.892207,6.221414498679787,0.8247693793210781,0.37387564586164634,1.1798848189694588,223,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,p10,0.05,4.815572229111593,5.980458346558794,0.7508307218747924,1.25,1.0,0.75,1.0,False,5.561203657995253,5.561203657995253,5.561203657995253,5.561203657995253,6,False,Germany,,25-05-2025,multi,100.0,4.852443061425142,4.806095045587872,4.896990853158355,128.1014548306092,122.25329068588077,133.88628942903557,4.6908740576197805e-52,9.564468633824679e-57,9.847625745950219e-52,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,18.24025238193372,0.935,5.980458346558794,0.9486466359531376,0.5509846711901576,0.7032650781104173,234,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,False,6.198657361824261,p10,0.05,4.815572229111593,6.198657361824261,0.8202695387304548,1.25,1.0,0.75,0.75,False,4.965583309003473,3.7241874817526046,4.965583309003473,4.965583309003473,7,False,Greece,,25-05-2025,unknown,,4.194011661826361,4.136570309861683,4.252484507955501,66.32864869891227,62.587796180097044,70.27980641855544,1.0922652059951735e-26,2.1120313789715153e-29,4.1205501987807584e-26,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,16.15738559248449,0.862697,6.198657361824261,0.20812896903507977,0.25174148052048445,1.1348704021334535,171,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,p10,0.05,4.815572229111593,5.831870413888987,0.7035446686766728,1.25,1.0,0.75,1.0,False,4.9532723908557985,4.9532723908557985,4.9532723908557985,4.9532723908557985,8,False,Netherlands,,25-05-2025,multi,100.0,4.568155581629233,4.528844445005901,4.607066620815041,96.39257541234467,92.65143537036386,100.18982341998456,1.500413725958798e-39,3.0827348363361604e-42,5.3560550304141444e-39,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,16.711446584343722,0.9700679999999999,5.831870413888987,0.40511321934827255,0.696121943646405,0.4093529229714917,213,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,p10,0.05,4.815572229111593,5.912222588104283,0.7291156360914521,1.25,1.0,0.75,1.0,False,4.891159966021486,4.891159966021486,4.891159966021486,4.891159966021486,9,False,Poland,,25-05-2025,unknown,,4.609632287439586,4.571881578911043,4.646337628186811,100.47335907983404,96.72593614082554,104.20265701636356,2.64518326107491e-41,5.797488193372536e-44,9.506105582746994e-41,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,17.436967335760777,0.8858499999999999,5.912222588104283,0.6630562317682177,0.34756568689608297,0.5682923487335879,220,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,False,6.0390177189757335,p10,0.05,4.815572229111593,6.0390177189757335,0.769466431717457,1.25,1.0,0.75,1.0,False,4.787519614600149,4.787519614600149,4.787519614600149,4.787519614600149,10,False,Portugal,,25-05-2025,unknown,,4.27342738125944,4.2263848371816355,4.321030070400786,71.7967689639737,68.469256697072,75.26611777672926,3.2396568489534064e-29,1.5450407250681134e-31,1.2579843849797207e-28,100,0.9,1.0,4209.0,40,5,3,12,20,4.120010361381676,4.082052769092744,4.157869319929745,5,15.571977658424434,2.812717214591056,0.6810503439899782,0.639171395759847,0.723665023922192,0.8018713410256412,0.24161953305668843,0.324918093023462,0.2843428822368228,0.36444300649294387,5.624921148630033,0.5055521865013448,-0.13176867333524642,-0.17131180219200492,-0.09149774637590476,16.19038235847314,0.8848699999999999,6.0390177189757335,0.21986024646939756,0.34350972342490926,0.8190975756853911,179,False,False,False,bayes-v2,bayes-v2_20251220T182933Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
