alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,12.684925872180255,12.48472197009332,12.887073686188032,325216.60986135557,264268.78004863206,395170.93068612233,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,21.065634938547873,0.92,2.580245381036206,0.8332408901783718,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,10.578131145522853,10.434062080070552,10.723839876957564,39417.80773348516,33998.173449285925,45425.998655604424,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,17.449397726957166,0.8901359999999999,1.2560053821472685,0.7249701187353262,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,9.394206342413618,9.278302990697682,9.510111403061414,12048.447528370538,10703.252976101352,13495.497672530084,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,16.46203770461362,0.342005,0.8944412594452475,-1.262257520624698,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,7.8690351948124455,7.772351466952372,7.964341265148829,2619.51353608219,2374.0472235704456,2876.5336807029967,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,17.760233059555436,0.26438300000000003,1.3698310402582063,-1.5436730651248334,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,8.18598688677783,8.089897618417856,8.280252386163266,3596.3507801211917,3261.353650588496,3945.189967700792,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,15.400912712032026,0.9974729999999999,0.5058649363839726,1.114116240968856,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,8.395334005008591,8.296527001330727,8.493683741053468,4434.3340538654475,4009.9217302225006,4883.823719224464,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,18.24025238193372,0.935,1.545610655847437,0.887622807257319,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,7.564545284029517,7.473286668037645,7.65421085014078,1931.5406414133015,1760.382982932752,2109.509742939973,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,12.67888794332868,,-0.49092091193646514,0.0,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,7.851522476253555,7.760606737707275,7.94028664117854,2573.544793772219,2346.3277790905363,2808.16532927404,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,17.713758095822914,0.957575,1.3528122435586265,0.9694675924611341,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,False,unknown,,7.095515175243262,7.007488527625235,7.1815173203603155,1208.2381337270147,1104.876151567005,1314.901872791497,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,17.131036537197033,0.970631,1.1394238093945255,1.01680161308665,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,7.350819406995112,7.266271395404537,7.433749710055481,1559.5242328577924,1431.2040980426734,1692.1407293077762,0.0,0.0,0.0,0.9,1.0,3485.0,22.0,5.0,4.0,13.0,-1.4651382602111396,-1.5865480153639027,-1.345493364826206,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,4.333290248704228,4.213350816138755,4.451033233260576,0.6901696809523811,0.27582698083674123,3.5633296667035395,3.4597852292399627,3.6635960866911494,17.544851613664733,0.9395640000000001,1.290959907371008,0.9041694118938733,nb-ablate-dist-eng-dist0_eng0-seed1,nb-ablate-dist-eng-dist0-eng0-seed1_20251221T141128Z,227
