alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,7.718576477502705,6.926748266106314,8.155183444607552,2467.549809006639,1019.1745012508972,3481.377906724281,0.0,0.0,0.0,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,21.065634938547873,0.92,2.5125798297905924,0.8706394328143748,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,248
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,6.287063855748255,5.277527267635056,6.622297167924535,611.9924001339464,195.88490505460197,751.6698271739708,2.8417840422282673e-84,0.0,1.6606099109504395e-83,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,17.449397726957166,0.8901359999999999,1.197139640098785,0.7603970232596441,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,247
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,5.470140798862316,4.298118315555497,5.932531101854972,281.2290612746243,73.56124433925342,377.1078051485096,1.160677367558637e-31,6.318696901173188e-162,8.306280065639628e-31,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,16.46203770461362,0.342005,0.8379781749928003,-1.263018533653156,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,243
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,4.329982254062009,2.685685630920169,5.116071563010332,104.17892146379232,14.66825494410607,166.6792926886027,1.1487722244173293e-06,6.82314478273778e-71,6.252249085820778e-06,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,17.760233059555436,0.26438300000000003,1.310208906563228,-1.5495587263419208,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,218
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,4.587088224128937,3.1015752258473834,5.269705475352375,127.73524429601454,22.232945624734743,194.35871058506783,8.36642855212539e-10,7.58033670281272e-83,4.9130525865760805e-09,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,15.400912712032026,0.9974729999999999,0.4519840103803944,1.1566295947295104,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,230
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,4.821843340593983,3.636002546486839,5.319616980328214,147.87247061952266,37.93987032162867,204.30561393663314,1.9517158161651517e-16,3.8148682718365455e-87,1.2647931903476786e-15,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,18.24025238193372,0.935,1.4848204354920134,0.9260116583474901,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,238
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,4.1694270954411055,2.6321509854955902,4.899679214030552,85.78981344205322,13.903644299157502,134.2467083179179,2.364054638305878e-06,6.688042655859195e-57,1.2730710761939373e-05,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,12.67888794332868,,-0.538178019536296,0.0,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,214
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,4.409946614259665,3.039648497766478,5.032536267402393,103.42105915446344,20.89789628844492,153.3213840102767,3.0270423733211665e-09,3.971656807344241e-65,1.754937014649428e-08,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,17.713758095822914,0.957575,1.2933032027802243,1.0093468577748281,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,229
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,3.8769241748263292,2.3688880333831563,4.602127588654617,63.592754163015464,10.685503753571313,99.69620266850177,4.758128870441834e-05,5.025368711549053e-42,0.0002444216584930921,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,17.131036537197033,0.970631,1.0813327725331578,1.057542842878852,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,210
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,4.114520228275601,2.825885198902586,4.701523014743256,75.27612976393054,16.875876884975103,110.114751197811,1.420604399894768e-07,1.6581227606917605e-46,7.909811612623383e-07,0.9,4.16,4.0,23.0,5.0,4.0,14.0,12.0,-1.1251963592312633,-1.3874118023111421,-0.8433933200859289,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.9128615429717857,2.612475618325447,3.218561805581246,0.6841490590909092,0.2708939338374484,1.7515582449106515,0.23991532190067053,2.5578907245976197,17.544851613664733,0.9395640000000001,1.2318618863150914,0.942859580836366,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed2_20251221T161118Z,225
