alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,15.690806538296568,15.438400691927072,15.946949449086944,6601280.031418572,5067715.552559127,8426983.60715442,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,21.065634938547873,0.92,8.976057949814678,2.580245381036206,0.8332408901783718,0.31561816509784074,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,12.429075430630203,12.239563326924346,12.61910773199792,251629.7473193297,206811.56154510556,302279.6113307226,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,17.449397726957166,0.8901359999999999,8.51073982360534,1.2560053821472685,0.7249701187353262,-0.30180666064928563,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,9.915105469433177,9.753681064389955,10.07783097178022,20332.350240607993,17217.49099475447,23809.286479743267,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,16.46203770461362,0.342005,8.838081925572382,0.8944412594452475,-1.262257520624698,0.13253949713562344,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,7.218372296993515,7.071749075411877,7.363183178899357,1369.6626004869927,1178.207008430546,1576.8479720039184,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,17.760233059555436,0.26438300000000003,8.546634970003979,1.3698310402582063,-1.5436730651248334,-0.25417783799650817,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,10.131882418023494,9.999669301903953,10.263086462520933,25213.827442335936,22019.182888993546,28655.092714409624,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,15.400912712032026,0.9974729999999999,8.450786304958566,0.5058649363839726,1.114116240968856,-0.38135823777129557,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,0.48451526049044535,0.1458435769012408,0.8157160124053161,1.6576355302399979,1.1570151911589008,2.2607938526306786,0.31235028848417584,0.23572772721552282,0.3637589948391773,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,18.24025238193372,0.935,6.704146221648854,1.545610655847437,0.887622807257319,-2.6989532084758854,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,18
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,10.423143595657912,10.287333899185663,10.558626229807226,33743.47339464977,29358.397471159496,38508.19018808121,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,12.67888794332868,,9.066585343713683,-0.49092091193646514,0.0,0.4357378364692702,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,2.453366845567598,2.20067870282399,2.7037207812628186,11.763876765282683,9.031140881997992,14.935199092930493,0.0002680329370388184,4.874572540749986e-06,0.0010803586854645185,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,17.713758095822914,0.957575,7.355600266359302,1.3528122435586265,0.9694675924611341,-1.8345469509456211,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,144
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,False,unknown,,11.158566182600925,11.007003026733098,11.311558861537483,70461.04113842148,60294.91355025486,81761.26370116993,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,17.131036537197033,0.970631,9.635180726298632,1.1394238093945255,1.01680161308665,1.190199967298008,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,7.046616740974451,6.9198557498375495,7.170347989730289,1152.311685918179,1012.1739779122502,1300.2970140986577,0.0,0.0,0.0,0.9,1.0,3889.0,22.0,5.0,4.0,13.0,-1.9363501916736616,-2.0640113076328412,-1.8116528877413218,5.0,95.0,1.0,6.0,1.0,True,False,14.01949574190159,2.7308019804754426,5.477700764485824,5.334662389417564,5.623673033444235,0.6901696809523811,0.27582698083674123,2.973591171750585,2.8384227562263837,3.1136774606320974,8.738194412333426,0.7536433696948793,3.2178974185988447,3.1147604288628226,3.3213679775108402,17.544851613664733,0.9395640000000001,8.556181787988972,1.290959907371008,0.9041694118938733,-0.24151028412569137,nb-ablate-dist-eng-dist1_eng0-seed2,nb-ablate-dist-eng-dist1-eng0-seed2_20251221T141112Z,227
