alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,11.006318682199039,9.405387710084451,12.428763676578553,102361.65429904485,12153.685184546835,249886.8955268239,0.0,0.0,0.0,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,21.065634938547873,0.92,8.976057949814678,0.01,2.5125798297905924,0.8706394328143748,0.31334273588540756,-1.1791760656896695,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,246
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,5.068733423233883,4.317853854535004,6.405592321720031,223.02911334308965,75.02743578807498,605.2201781187088,1.2872426781345465e-29,8.674891662313319e-261,1.95535217519958e-31,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,17.449397726957166,0.8901359999999999,8.51073982360534,,1.197139640098785,0.7603970232596441,-0.31738621183375454,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,230
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,7.890365876556067,6.423750884087425,9.162073763650028,4183.912624719482,616.3104935038217,9528.797076394638,7.251012502554434e-255,0.0,1.347758524129463e-265,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,16.46203770461362,0.342005,8.838081925572382,0.15,0.8379781749928003,-1.263018533653156,0.1263191327222129,-0.6528227339369904,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,245
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,5.599309559488478,4.777788246907116,6.502899153529673,329.35491026419885,118.8412118029727,667.0727788478272,1.4784577079166361e-46,1.3127263302573665e-287,2.903273362082434e-50,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,17.760233059555436,0.26438300000000003,8.546634970003979,,1.310208906563228,-1.5495587263419208,-0.268731094740694,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,234
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,7.194107599095353,6.256533280389738,8.182618569516857,1667.1250017727195,521.4082271814541,3578.2122020500638,2.1520286440957925e-207,0.0,1.872675272634151e-224,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,15.400912712032026,0.9974729999999999,8.450786304958566,,0.4519840103803944,1.1566295947295104,-0.39865194724834424,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,241
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,-0.0883717966349615,-1.0527614956035483,1.4616615152378902,1.234549949897875,0.34897273335052836,4.313119991525399,0.3147382158699475,0.05776003220360794,0.3678499089865249,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,18.24025238193372,0.935,6.704146221648854,0.56,1.4848204354920134,0.9260116583474901,-2.7661858981918965,0.8886405947672842,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,12
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,6.086180601523853,4.92295946103436,6.669618762518935,509.6349992500558,137.40866782517605,788.0950958373924,1.4250881413459817e-50,0.0,2.8986719332040394e-58,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,12.67888794332868,,9.066585343713683,,-0.538178019536296,0.0,0.43605071710853854,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,235
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,2.889684062105577,1.535447642137941,3.7162899745596873,23.94685026789116,4.643403649710291,41.11158591420756,0.008862316336926034,5.746869742702492e-17,0.044692212697499685,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,17.713758095822914,0.957575,7.355600266359302,0.22,1.2933032027802243,1.0093468577748281,-1.8831536220695588,-0.38964606806065083,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,151
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,4.96388989104332,3.5742470788535674,6.621061190701607,255.15002301782636,35.66775599185812,750.7413542941682,5.659389965214848e-13,0.0,1.1533749576197278e-14,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,17.131036537197033,0.970631,9.635180726298632,0.97,1.0813327725331578,1.057542842878852,1.2067698168722094,2.4301039234715582,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,223
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,2.708960034453705,2.0765262433997824,3.8356200368631863,18.81863575451726,7.976711577654756,46.32214021043887,0.0005052587922212799,3.534588926840599e-19,0.0027389371540432177,0.9,3.62,4.0,23.0,5.0,4.0,14.0,12.0,-0.6402582833226341,-0.8167400555093499,-0.3903306929216608,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.758881928682424,2.6022697438531783,2.922551003724076,0.6841490590909092,0.2708939338374484,3.0779346042501277,2.4497510034323797,3.735890994597723,8.744890416992915,0.7377465833651973,1.9214033425595494,1.2023742129007657,2.1731424514167506,0.32363846153846154,0.2659810274855117,-1.2151169806193252,-1.6574963892905064,-0.423931085165545,17.544851613664733,0.9395640000000001,8.556181787988972,0.8621,1.2318618863150914,0.942859580836366,-0.25579058345910133,2.024435891356458,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed1_20251221T160741Z,190
