alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,unknown,,-3.2750308888852215,-3.425370688217876,-3.127574117875799,0.03796907329140721,0.032537218590401394,0.04382398122154348,0.036543421407347454,0.03149558580743992,0.041944914704731294,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,21.065634938547873,0.92,2.5268587623439647,0.8516131904008426,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,209
USA,['English'],340110988,38.0,-97.0,93.1444,2023,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,unknown,,-2.584916186542273,-2.711613708924771,-2.461629301325408,0.07561802049068035,0.06642952326951622,0.0852958660270082,0.07008165318347524,0.06216002212120425,0.07832212447010894,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,17.449397726957166,0.8901359999999999,1.2515026374304483,0.7461762713256133,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,179
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,unknown,,-2.1606883732894677,-2.2753504534666034,-2.046838261715999,0.11551865954439945,0.10276089021606667,0.12914257507347668,0.10286305260604736,0.09272553981585072,0.11349677830874644,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,16.46203770461362,0.342005,0.9032855326579783,-1.1890381637676188,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,160
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,unknown,,-1.358018324980223,-1.4695061556279843,-1.2471096021512744,0.25773798799878495,0.23003906164259574,0.2873341086512303,0.198981962305304,0.18276662505707886,0.2155755809372544,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,17.760233059555436,0.26438300000000003,1.361126459672561,-1.4630880074743364,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,113
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,unknown,,-1.5836777617142805,-1.6932572655808664,-1.4745753021619878,0.20565826784292052,0.18391947373665563,0.22887591052841522,0.16729659496372926,0.15302151696499708,0.18205413186905778,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,15.400912712032026,0.9974729999999999,0.5290533738133838,1.125136979294333,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,125
DEU,['German'],83491249,51.0,9.0,93.5,2024,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,unknown,,-1.9222465316585522,-2.0269553959720787,-1.8194159534517866,0.1465641610777762,0.1317359961697791,0.16212041015995407,0.12651592932186229,0.11547613608273566,0.13785727647939566,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,18.24025238193372,0.935,1.5304172298990768,0.9045717286451647,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,146
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,unknown,,-1.3935177017370008,-1.4998832846570502,-1.288069353829261,0.24869218738726673,0.22315620543900114,0.2758027480870127,0.19376804186296626,0.1785227052700607,0.20932397701230918,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,12.67888794332868,,-0.43093646031728344,0.0,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,114
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,unknown,,-1.6203919774882112,-1.7235988119222552,-1.518094376689988,0.1981982239905563,0.1784228821444683,0.21912906896803946,0.16245308534842307,0.1492665437668543,0.1760084211199492,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,17.713758095822914,0.957575,1.3447359061266193,0.984274328702869,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,128
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,unknown,,-1.3163191575390079,-1.4174627414061223,-1.2173147547941003,0.2686030228140851,0.24232809085401424,0.2960239992801805,0.20516096726670877,0.19017875747073015,0.22017364474891998,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,17.131036537197033,0.970631,1.1392246342082155,1.030369440390727,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,110
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,unknown,,-1.587096386549501,-1.6839111115151177,-1.491942263242231,0.20485891066468764,0.18564647124775224,0.22493534836006787,0.16680928372114828,0.1541918646997508,0.17962613657906507,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,17.544851613664733,0.9395640000000001,1.285166828117139,0.9206852465483037,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,126
THA,['Thai'],65859640,15.0,100.0,90.8672,2024,9424.76758538657,7.818619352454832,0.9086719999999999,1.25,1.0,0.75,0.75,False,7.104560484233837,5.328420363175378,7.104560484233837,7.104560484233837,11,False,Thailand,,25-05-2025,unknown,,-1.878084615142337,-1.974216032668843,-1.785309336539523,0.15312905390170564,0.13887014023847818,0.16774516452246288,0.13132782796974268,0.120864382750725,0.1418401593115522,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,16.166790572497078,0.5679099999999999,0.7991592775823746,-0.39146492496204777,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,144
ARE,['Arabic'],11294243,24.0,54.0,100.0,2024,5670.8964449129635,7.052857127514885,1.0,1.25,1.0,0.75,0.75,False,7.052857127514885,5.289642845636164,7.052857127514885,7.052857127514885,12,False,United Arab Emirates,,25-05-2025,unknown,,-0.8276060535648577,-0.9274734394778669,-0.7275728840090403,0.4379074748072659,0.3955518356075133,0.4830800610100247,0.28225994039575464,0.2663283660905007,0.2980026372233038,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,16.23980368483258,1.0,0.8249091702380947,1.1340587277038934,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,71
NLD,['Dutch'],18100436,52.5,5.75,97.0068,2023,541.5892661634281,7.257689036201425,0.9700679999999999,1.25,1.0,0.75,1.0,False,7.0404518879698434,7.0404518879698434,7.0404518879698434,7.0404518879698434,13,False,Netherlands,,25-05-2025,unknown,,-1.1224426292527978,-1.2182479167245164,-1.0273316680680629,0.32602461377892716,0.29574788929717366,0.357960846717191,0.2351072659361847,0.22002902655749332,0.250250587786708,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,15.539516387540328,0.99,0.5779354122837752,1.098753035541012,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,101
JPN,['Japanese'],123210000,36.0,138.0,86.9815,2023,9297.2835255448,8.090645957573315,0.869815,1.25,1.0,0.75,0.75,False,7.037365213586633,5.278023910189975,7.037365213586633,7.037365213586633,14,False,Japan,,25-05-2025,unknown,,-2.267391889065245,-2.3646170842883687,-2.1727911947564156,0.10375490756784568,0.09398528292642634,0.11385937069845556,0.09349879718940261,0.08555444205298486,0.10160621708726555,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,16.83234696442963,0.933917,1.0338843166937168,0.9007481221839244,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,166
BRA,['Portuguese'],213421037,-10.0,-55.0,84.4635,2024,8673.413338358518,8.329237225785352,0.8446349999999999,1.25,1.0,0.75,1.0,False,7.03516528420121,7.03516528420121,7.03516528420121,7.03516528420121,15,False,Brazil,,25-05-2025,unknown,,-2.5864515854347765,-2.689669898448958,-2.4865316283605288,0.07542702812914871,0.0679033520784843,0.08319802943805615,0.06992816818483974,0.06344554940492513,0.0765562399461335,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,19.178777472104436,0.8446349999999999,1.8614114794736836,0.5855318414152867,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,181
FRA,['French'],66351959,46.0,2.0,88.6538,2024,933.9888303008761,7.821853749662105,0.886538,1.25,1.0,0.75,1.0,False,6.934370579517943,6.934370579517943,6.934370579517943,6.934370579517943,16,False,France,,25-05-2025,unknown,,-1.9372453242738523,-2.0279519415439893,-1.847785198547658,0.1443093703804865,0.13160478061780026,0.15758580246153486,0.12486860991345529,0.11537625432395181,0.13461034677551129,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,18.010483843551544,0.886538,1.4493836318267779,0.733473283285409,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,147
ITA,"['Italian', 'Catalan']",58927633,42.83333333,12.83333333,89.2207,2024,1648.6771163328056,7.7703189967427955,0.892207,1.25,1.0,0.75,1.0,False,6.932733001126899,6.932733001126899,6.932733001126899,6.932733001126899,17,False,Italy,,25-05-2025,unknown,,-1.8677504235318367,-1.957991231044432,-1.7794830007742954,0.1546923448223169,0.14114165832712952,0.16872535768345429,0.13246744578801473,0.12256265844143727,0.1425292056846212,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,14.854211470395835,0.89473,0.3362455638655847,0.7623957063052413,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,143
TUR,['Turkish'],85664944,39.0,35.0,87.3079,2024,3233.5273059631077,7.932803135318054,0.873079,1.25,1.0,0.75,0.75,False,6.925963828580352,5.194472871435265,6.925963828580352,6.925963828580352,18,False,Türkiye,,25-05-2025,unknown,,-2.090017015926189,-2.1818535581565652,-1.999923079823203,0.12386910118730335,0.11283219667604719,0.1353456950741851,0.10939999922640836,0.10079306293184516,0.11821281461939057,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,9.272657678041044,0.743146,-1.6322284048215199,0.22721790222342028,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,154
CHL,['Spanish'],20206953,-30.0,-71.0,94.4574,2023,11434.350148808817,7.3055008313257455,0.944574,1.25,1.0,0.75,1.0,False,6.9005861422486845,6.9005861422486845,6.9005861422486845,6.9005861422486845,19,False,Chile,,25-05-2025,unknown,,-1.2378319764985393,-1.328413055838177,-1.1489920563508427,0.29043357519512325,0.2648973061563105,0.3169560832979993,0.2170701197028256,0.20325166103624245,0.23085900183329472,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,16.82153731106627,0.944574,1.0300720231912424,0.9383733983219071,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,105
MAR,"['Arabic', 'Berber']",36828330,32.0,-5.0,91.0,2023,2457.8805046131624,7.566182025989628,0.91,1.25,1.0,0.75,0.75,False,6.8852256436505614,5.163919232737921,6.8852256436505614,6.8852256436505614,20,False,Morocco,,25-05-2025,unknown,,-1.6042032106860824,-1.693674223302864,-1.518846773412313,0.20132458677007875,0.18384280303421896,0.21896425789391283,0.16453102840498016,0.15296945456394814,0.17590503094230353,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,10.556411517605202,0.991497,-1.1794806379101774,1.1040382976577952,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,127
ARG,"['Guaraní', 'Spanish']",46735004,-34.0,-64.0,89.6672,2024,11444.407762190232,7.6696422841965495,0.8966719999999999,1.25,1.0,0.75,1.0,False,6.877153486255088,6.877153486255088,6.877153486255088,6.877153486255088,21,False,Argentina,,25-05-2025,unknown,,-1.7486190956344574,-1.8373005323172715,-1.6634949174607776,0.17425137526789297,0.15924672880193128,0.18947562166752843,0.14632265805894915,0.1358033691085073,0.15677078143909126,0.9,1.0,1611.0,20.0,4.0,4.0,12.0,-0.5471863282154636,-0.6047401531664148,-0.48737015597470873,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3197370569250715,-1.3828661942737954,-1.2577946143871759,0.6787887,0.2832404461542748,0.7126998412573983,0.6203010088168767,0.8051162903323145,17.660003992187775,0.8966719999999999,1.3257781825871962,0.7692520717232725,nb-compare-distance-no-distance,nb-compare-distance-no-distance_20251221T105542Z,137
