alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,unknown,,15.693322901122201,15.444530682415733,15.938922383938577,6616826.491393222,5098876.007906522,8359610.496653792,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,21.065634938547873,0.92,8.976057949814678,2.5268587623439647,0.8516131904008426,0.32189158614284125,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
USA,['English'],340110988,38.0,-97.0,93.1444,2023,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,unknown,,12.467330335467281,12.274256274572874,12.652392443716654,261441.16812537934,214112.37655044132,312510.22307199164,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,17.449397726957166,0.8901359999999999,8.51073982360534,1.2515026374304483,0.7461762713256133,-0.2694512204121214,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,unknown,,9.977313936304244,9.807666754100419,10.141728246969585,21645.53338837822,18172.53661915833,25380.29204323008,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,16.46203770461362,0.342005,8.838081925572382,0.9032855326579783,-1.1890381637676188,0.14654675253962982,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,unknown,,7.342681032026776,7.167148567422166,7.525522644838134,1553.9071019661305,1296.1434684832448,1854.782367814167,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,17.760233059555436,0.26438300000000003,8.546634970003979,1.361126459672561,-1.4630880074743364,-0.22383439309015477,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,unknown,,10.23797435057546,10.08729721320359,10.391232169991499,28061.899255167562,24035.741081061875,32572.777431601895,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,15.400912712032026,0.9974729999999999,8.450786304958566,0.5290533738133838,1.125136979294333,-0.3456422819300618,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
DEU,['German'],83491249,51.0,9.0,93.5,2024,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,unknown,,0.547045553749758,0.19316999499147045,0.8944204010511384,1.7684244203521595,1.2130889967791167,2.4459177282612585,0.29896695512720806,0.21193040706722524,0.360624149208702,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,18.24025238193372,0.935,6.704146221648854,1.5304172298990768,0.9045717286451647,-2.565334554225281,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,18
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,unknown,,10.539108187281624,10.387182240110846,10.699236898729142,37930.38766387483,32441.127121632715,44322.02016888051,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,12.67888794332868,,9.066585343713683,-0.43093646031728344,0.0,0.4369370145563934,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,unknown,,2.542131495869454,2.2643194721519744,2.808592102903504,12.883303023617277,9.62457261775292,16.58654967608128,0.0001369683744898331,1.0382678852915305e-06,0.0006360375987255498,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,17.713758095822914,0.957575,7.355600266359302,1.3447359061266193,0.984274328702869,-1.737443609423897,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,148
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,unknown,,11.274387206869953,11.1086495840297,11.443750595203994,79179.39731277629,66745.99572186817,93316.3483750079,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,17.131036537197033,0.970631,9.635180726298632,1.1392246342082155,1.030369440390727,1.1595282277358054,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,unknown,,7.132184822977308,6.988194835413441,7.278071388575847,1256.3799021952352,1083.7633396169224,1448.1923307524767,0.0,0.0,0.0,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,17.544851613664733,0.9395640000000001,8.556181787988972,1.285166828117139,0.9206852465483037,-0.21170195761658836,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,227
