alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,True,censored,,2.0,True,11.057359372909946,6.867852766002925,15.279984514518242,1503642.626751112,960.88361890308,4325267.391388499,0.02463454012629301,0.019884722571053993,0.0298602682913596,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,230
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,12.826850804625826,8.707698568247825,16.7719055094799,8230482.549826998,6049.307235525743,19228528.298411835,0.022726534184048935,0.018374678713602915,0.028114166913326508,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,233
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,8.930976082933794,5.674674690660705,12.29115204920056,59019.21707703946,291.39369042745335,217760.74395479762,0.02739398092932065,0.022863905477584427,0.032403793917741175,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,217
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,8.593325514261982,6.327941662231149,10.864432664195412,15198.947597285529,560.0027434073846,52283.335979928735,0.02788869076311291,0.023848944186296624,0.032162918355794184,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,208
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,8.893755566247847,6.567049489423308,11.22435043741309,21314.260789590255,711.2688737353781,74933.05994411335,0.0274664567734955,0.02351410966117811,0.031662052989844355,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,215
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,10.025671362286806,7.610871186387579,12.479895768573282,71609.39035233659,2020.0373912309344,262996.5685307408,0.02599767711700687,0.022167404362968744,0.030179291364593366,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,226
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,9.504563066949633,7.183305701797943,11.897893771095182,41578.431552110334,1317.2556721592327,146956.78165406318,0.02671908265639827,0.02261729410472633,0.031171448851679377,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,222
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,8.412285233414735,5.986326390553167,10.918727909555619,14722.324500878194,397.95034859808624,55200.566721421696,0.028128993547093382,0.024000023399287307,0.03258497007693927,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,202
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,10.40652800242366,6.793118807179849,13.917502243651013,372745.9346532545,891.6902486360136,1107374.4808309493,0.0257043738521988,0.020725279646370557,0.03198424996195558,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,229
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,10.342462685619168,7.171640264334692,13.453630549285917,212829.69751882934,1301.9784548319954,696365.9222034052,0.02572305664022464,0.02117090533432457,0.03122318120185213,0.9,1.0,2513.0,23.0,5.0,4.0,14.0,16.0,3.8757831445753137,2.6676571689317456,5.333245620927857,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04993556281794575,0.03993363068924825,0.061067452640626886,14.158377011671128,2.749070037489086,2.8855340073038733,1.4409416298493223,4.134353109652679,0.6841490590909092,0.2708939338374484,1.146375901788547,-0.17778364703422553,2.363967288567612,0.32363846153846154,0.2659810274855117,0.9045624419906376,-0.6046534066869528,2.28394136372907,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-negbin-17-censored-dist0_eng1-usecensored1-seed1,nb-negbin-17-censored-dist0-eng1-usecensored1-seed1_20251221T172113Z,228
