alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_total_countries,bayes_target_total_nonzero,bayes_target_total_zero,bayes_target_total_one,bayes_target_total_multi,bayes_expected_total_nonzero_mean,bayes_expected_total_zero_mean,bayes_expected_total_one_mean,bayes_expected_total_multi_mean,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,True,censored,,2.0,True,12.503324988403817,8.693700606919856,16.29168984030424,3833299.5448054248,5965.216487310008,11895727.642527722,0.023178723854770652,0.018936855646003073,0.02781458528490118,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,223
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,12.38998560242998,8.738011740931624,16.085169341082207,2726185.1159044662,6235.487200916267,9676098.877449453,0.023643838285470432,0.019003754012686586,0.029563030035527873,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,222
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,9.929183577471873,6.85192340682398,13.019974229044664,120921.76786812661,945.6982335435973,451339.1070551207,0.026503370901825956,0.022315014969871268,0.031039291853060307,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,218
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,8.992183881014126,6.9965846614575185,11.043506882210187,17437.001013915575,1092.894607796126,62536.58398474049,0.027894221252376675,0.02396861701749216,0.03202120540625395,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,203
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,9.311854802517036,7.276054305065697,11.392831635754868,24577.53155711309,1445.2741705686894,88683.72284424271,0.027429787915274815,0.023616468282049375,0.03147388582610452,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,211
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,10.019169264454026,7.989037247719417,12.107169944111792,50425.634709918435,2948.4572023539663,181166.24405420586,0.026531067482339108,0.022609840612121422,0.030878268845587583,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,217
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,9.324674362605402,7.298390152191486,11.43227501413442,25491.676304495646,1477.9188163979275,92251.61040534162,0.027556640615464728,0.023195970544949915,0.03256607023510271,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,208
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,8.952276997823285,6.729088380893957,11.223040424558251,20035.99402847132,836.3844825114189,74834.95992152843,0.027924198767747037,0.023978679523759403,0.032063741581718895,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,202
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,9.563827762295752,6.1357822451256245,12.978742342485404,118370.26930712617,462.10126052582837,433108.0695675945,0.02748157121804712,0.02171726452849483,0.03519813197303098,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,210
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,9.690595353007483,6.726963064771731,12.671120636923446,81358.85029485358,834.6087932634788,318418.121142169,0.02720682658592556,0.022028415969713108,0.03386703047758001,0.9,1.0,3109.0,23.0,5.0,4.0,14.0,26.0,2.9082270872865363,1.975274505677799,4.067008243608204,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.12156718721161,145.8784328127884,10.398778967068814,91.7227882201428,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052297861063314605,0.04180188586851908,0.06427884482121127,14.158377011671128,2.749070037489086,3.403176492888569,2.3487558990224047,4.360909234843815,0.6841490590909092,0.2708939338374484,1.7981182588010518,0.721302354021524,2.845901582217695,0.32363846153846154,0.2659810274855117,0.4419758747416871,-1.0987875064187367,1.8636391703457154,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed0,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed0_20251221T174312Z,212
