alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_rank,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli,run_label,run_id
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,unknown,,15.688044126991215,15.39645843254803,15.943123952770339,6582472.897385095,4859559.98229854,8394866.011514712,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,21.065634938547873,0.92,8.976057949814678,2.5268587623439647,0.8516131904008426,0.32189158614284125,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
USA,['English'],340110988,38.0,-97.0,93.1444,2023,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,unknown,,12.460879903401668,12.266309471222716,12.663002599584978,259761.23552592433,212418.7868665654,315843.75130685157,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,17.449397726957166,0.8901359999999999,8.51073982360534,1.2515026374304483,0.7461762713256133,-0.2694512204121214,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,unknown,,9.970169006303465,9.800735340791396,10.14236237601684,21489.397518252055,18047.022141956397,25396.53361811028,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,16.46203770461362,0.342005,8.838081925572382,0.9032855326579783,-1.1890381637676188,0.14654675253962982,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,unknown,,7.3328955199854855,7.184011055269635,7.5109115023360316,1538.0943933805017,1318.1851111003182,1827.878919528943,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,17.760233059555436,0.26438300000000003,8.546634970003979,1.361126459672561,-1.4630880074743364,-0.22383439309015477,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,unknown,,10.228445473195023,10.087911942588212,10.38691840373043,27792.443852689936,24050.542469967593,32432.584584558637,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,15.400912712032026,0.9974729999999999,8.450786304958566,0.5290533738133838,1.125136979294333,-0.3456422819300618,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
DEU,['German'],83491249,51.0,9.0,93.5,2024,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,unknown,,0.5421035035256925,0.1779007740603141,0.8963200839171307,1.7640781065297757,1.1947070996774118,2.45057295240313,0.29938628977156556,0.21134802083886176,0.36174840792532215,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,18.24025238193372,0.935,6.704146221648854,1.5304172298990768,0.9045717286451647,-2.565334554225281,18,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,unknown,,10.528966425800034,10.36152899936949,10.683481268428373,37550.64170599312,31619.50484970735,43629.17964205381,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,12.67888794332868,,9.066585343713683,-0.43093646031728344,0.0,0.4369370145563934,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,unknown,,2.535330554252765,2.2627697625234995,2.8116939214892174,12.80696477868969,9.60967053241019,16.63807800256926,0.00013651390009574083,9.891859886332585e-07,0.0006445954409894095,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,17.713758095822914,0.957575,7.355600266359302,1.3447359061266193,0.984274328702869,-1.737443609423897,148,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,unknown,,11.264051388726859,11.077725351878735,11.429527825848151,78403.30362560609,64713.51619439925,91998.61852505319,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,17.131036537197033,0.970631,9.635180726298632,1.1392246342082155,1.030369440390727,1.1595282277358054,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,unknown,,7.124416869548151,7.001160807064875,7.271409388792834,1246.4370655176647,1097.9073499454246,1438.5765897684926,0.0,0.0,0.0,0.9,1.03,123.0,20.0,4.0,4.0,12.0,-2.356281996996924,-2.48018066031496,-2.233903298837799,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.630821359018517,5.470900769427416,5.769803026632734,0.6787887,0.2832404461542748,3.2104053832447033,3.032882788165144,3.4064878654538706,8.722766647297384,0.7868838870640574,3.361418283152787,3.2494963309700475,3.4803091351772157,17.544851613664733,0.9395640000000001,8.556181787988972,1.285166828117139,0.9206852465483037,-0.21170195761658836,227,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9,pipeline-final-smoke,pipeline-final-smoke_20251221T100323Z
