alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,,6.763427993562937,1.5,76.60008273101442,1,False,United Kingdom,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,5.936513742478893,5.936513742478893,1.5,70.76377996764498,2,False,United States,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,5.457881896733992,5.457881896733992,1.5,59.12041897042563,3,False,Australia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MYS,"['English', 'Malay']",34231700,98.0206,2024,,,,7.534428467419687,0.980206,,5.334453751150931,1.5,59.09474784178585,4,False,Malaysia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,6.763427993562937,6.763427993562937,1.1,54.805907810210876,5,False,Spain,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CAN,"['English', 'French']",41651653,93.9564,2023,2025 Q2 P,121000.0,142.0,7.619632241625957,0.9395640000000001,5.08278537031645,5.08278537031645,1.5,54.58249821499207,6,False,Canada,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
PHL,"['English', 'Filipino']",114123600,83.7661,2023,,,,8.057375462910338,0.837661,,5.334453751150931,1.5,54.006136637726016,7,False,Philippines,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
HKG,"['English', 'Chinese']",7527500,95.9778,2023,,,,6.876650764184797,0.959778,,5.334453751150931,1.5,52.8115571712495,8,False,Hong Kong,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
IRL,"['English', 'Irish']",5458600,96.4974,2023,,,,6.7370812708662235,0.964974,,5.334453751150931,1.5,52.01979203447968,9,False,Ireland,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SGP,"['English', 'Chinese', 'Malay', 'Tamil']",6110200,94.3776,2024,,,,6.786055425868549,0.9437760000000001,,5.334453751150931,1.5,51.246893566008126,10,False,Singapore,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,5.9804578922761005,5.9804578922761005,1.1,48.725228832357836,11,False,Germany,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,6.380934463330702,6.380934463330702,1.1,48.67254063358779,12,False,France,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,6.221414237842339,6.221414237842339,1.1,47.44454418040738,13,False,Italy,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
NZL,"['English', 'Māori', 'New Zealand Sign Language']",5324700,96.1638,2023,2025 Q1 P,65000.0,121.0,6.726295144126775,0.961638,4.812913356642856,4.812913356642856,1.5,46.69676971253413,14,False,New Zealand,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,75.6592,2023,2025 Q1 P,166000.0,223.0,7.800035863288702,0.7565919999999999,5.220108088040055,5.220108088040055,1.5,46.20926907965162,15,False,South Africa,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
PRI,"['English', 'Spanish']",3203295,87.2918,2022,,,,6.505596935845423,0.872918,,5.334453751150931,1.5,45.440365359920335,16,False,Puerto Rico,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,5.831869774280501,5.831869774280501,1.1,45.16489841900016,17,False,Netherlands,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
IND,"['English', 'Hindi', 'Tamil']",1417492000,55.9,2022,2025 Q1 P,619000.0,602.0,9.151520616513332,0.5589999999999999,5.791690649020118,5.791690649020118,1.5,44.442827993770614,18,False,India,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,5.912222056532415,5.912222056532415,1.1,43.62735434803488,19,False,Poland,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,5.732393759822968,5.732393759822968,1.1,42.71082456552317,20,False,Switzerland,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
JAM,"['English', 'Jamaican Patois']",2825544,89.473,2023,2025 Q2 P,83000.0,76.0,6.4511020746169,0.89473,4.919078092376074,4.919078092376074,1.5,42.58933797837409,21,False,Jamaica,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BHS,['English'],398165,94.8186,2023,,,,5.600063081470082,0.9481860000000001,,5.334453751150931,1.5,42.48813526596349,22,False,Bahamas,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GHA,['English'],33742380,69.9445,2023,,,,7.52817571205314,0.6994450000000001,,5.334453751150931,1.5,42.13320830275837,23,False,Ghana,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,5.738780558484369,5.738780558484369,1.1,41.95116229061814,24,False,Romania,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
TTO,['English'],1367764,84.6994,2023,,,,6.136011168773308,0.846994,,5.334453751150931,1.5,41.58605164487383,25,False,Trinidad and Tobago,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BWA,"['English', 'Tswana']",2359609,81.36,2023,,,,6.372840043982482,0.8136,,5.334453751150931,1.5,41.488255231482036,26,False,Botswana,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MLT,"['English', 'Maltese']",574250,92.0727,2023,2025 Q2 P,158000.0,153.0,5.759101003867063,0.920727,5.198657086954422,5.198657086954422,1.5,41.34928504682718,27,False,Malta,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,6.039017321997412,6.039017321997412,1.1,41.33137452037393,28,False,Portugal,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BEL,"['German', 'French', 'Dutch']",11825551,95.7758,2024,2025 Q2 P,322000.0,172.0,7.072821385408543,0.957758,5.507855871695831,5.507855871695831,1.1,41.04154783525291,29,False,Belgium,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CHL,['Spanish'],20206953,94.4574,2023,,,,7.3055008313257455,0.944574,,5.334453751150931,1.1,40.491943394824496,30,False,Chile,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ARG,"['Guaraní', 'Spanish']",46735004,89.6672,2024,,,,7.6696422841965495,0.8966719999999999,,5.334453751150931,1.1,40.354442933193575,31,False,Argentina,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,5.513217600067939,5.513217600067939,1.1,40.08689765208807,32,False,Austria,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,5.334453751150931,5.334453751150931,1.1,39.68657395718625,33,False,Denmark,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,5.429752280002408,5.429752280002408,1.1,39.093469012378314,34,False,Hungary,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MUS,"['English', 'French', 'Mauritian Creole']",1243741,79.5,2023,,,,6.094729951108975,0.795,,5.334453751150931,1.5,38.77062564705965,35,False,Mauritius,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MEX,['Spanish'],130575786,81.1832,2023,2025 Q2 P,207000.0,336.0,8.115862648749394,0.811832,5.315970345456917,5.315970345456917,1.1,38.52796663953258,36,False,Mexico,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GUY,['English'],772975,81.7221,2023,,,,5.888165447944686,0.817221,,5.334453751150931,1.5,38.50354670656881,37,False,Guyana,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SWE,['Swedish'],10605098,95.5293,2024,2025 Q2 P,150000.0,90.0,7.025514686116378,0.9552930000000001,5.176091259055681,5.176091259055681,1.1,38.212843112083775,38,False,Sweden,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BMU,['English'],64055,98.37,2017,,,,4.80655303552734,0.9837,,5.334453751150931,1.5,37.833596118128966,39,False,Bermuda,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
FJI,"['English', 'Fijian', 'Fiji Hindi']",900869,79.3485,2023,,,,5.954661642573458,0.793485,,5.334453751150931,1.5,37.8074183991855,40,False,Fiji,,25-05-2025,True,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
DOM,['Spanish'],10771504,91.0022,2024,,,,7.032276347058217,0.910022,,5.334453751150931,1.1,37.55177411477449,41,False,Dominican Republic,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BRA,['Portuguese'],213421037,84.4635,2024,2025 Q1 P,65000.0,115.0,8.329237225785352,0.8446349999999999,4.812913356642856,4.812913356642856,1.1,37.24560505877435,42,False,Brazil,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CZE,"['Czech', 'Slovak']",10882341,87.6878,2024,2025 Q1 P,246000.0,108.0,7.036722330474317,0.8768779999999999,5.390935107103379,5.390935107103379,1.1,36.590334313791956,43,False,Czechia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
PER,"['Aymara', 'Quechua', 'Spanish']",34350244,81.9571,2024,,,,7.535929826329404,0.8195709999999999,,5.334453751150931,1.1,36.24149194306404,44,False,Peru,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
KIR,"['English', 'Gilbertese']",120740,88.0,2023,,,,5.081851171517454,0.88,,5.334453751150931,1.5,35.78374805899348,45,False,Kiribati,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SYC,"['Seychellois Creole', 'English', 'French']",122729,87.4009,2023,,,,5.088947195586477,0.8740089999999999,,5.334453751150931,1.5,35.589760263174504,46,False,Seychelles,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
URY,['Spanish'],3499451,91.9911,2024,,,,6.543999916815401,0.919911,,5.334453751150931,1.1,35.324151324338665,47,False,Uruguay,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SRB,['Serbian'],6567783,87.6907,2024,,,,6.81741879522901,0.8769070000000001,,5.334453751150931,1.1,35.07972255440983,48,False,Serbia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
COL,['Spanish'],53057212,77.3369,2023,,,,7.724744425351789,0.773369,,5.334453751150931,1.1,35.0552863223607,49,False,Colombia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GIB,['English'],38000,94.4445,2016,,,,4.57978359661681,0.9444450000000001,,5.334453751150931,1.5,34.610099056315214,50,False,Gibraltar,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
FIN,"['Finnish', 'Swedish']",5650325,93.5139,2023,2025 Q2 P,86000.0,70.0,6.752073428641965,0.935139,4.9344984512435675,4.9344984512435675,1.1,34.272755945651134,51,False,Finland,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LVA,['Latvian'],1829000,92.7076,2024,,,,6.262213705476417,0.927076,,5.334453751150931,1.1,34.06637023161683,52,False,Latvia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CRI,['Spanish'],5309625,85.3951,2023,,,,6.725063849484161,0.853951,,5.334453751150931,1.1,33.69861119082848,53,False,Costa Rica,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GUM,"['Chamorro', 'English', 'Spanish']",153836,80.5055,2017,,,,5.187057978975404,0.805055,,5.334453751150931,1.5,33.413953763733325,54,False,Guam,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
NAM,"['Afrikaans', 'German', 'English', 'Herero', 'Khoekhoe', 'Kwangali', 'Lozi', 'Ndonga', 'Tswana']",3022401,64.4061,2023,,,,6.480352084269662,0.644061,,5.334453751150931,1.5,33.39695085240222,55,False,Namibia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
EST,['Estonian'],1369995,92.238,2024,,,,6.1367189821371575,0.92238,,5.334453751150931,1.1,33.214579079278074,56,False,Estonia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SVK,['Slovak'],5413813,89.8251,2024,2025 Q1 P,97000.0,37.0,6.733503250608721,0.898251,4.986771734266245,4.986771734266245,1.1,33.178057678097005,57,False,Slovakia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LBN,"['Arabic', 'French']",5490000,83.4933,2023,,,,6.739572344450092,0.834933,,5.334453751150931,1.1,33.01920445286849,58,False,Lebanon,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BIH,"['Bosnian', 'Croatian', 'Serbian']",3422000,86.1009,2024,,,,6.534280005205082,0.8610089999999999,,5.334453751150931,1.1,33.0132340810523,59,False,Bosnia and Herzegovina,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ECU,['Spanish'],18103660,77.1727,2024,,,,7.257766384654669,0.771727,,5.334453751150931,1.1,32.86618679236561,60,False,Ecuador,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ISL,['Icelandic'],391810,99.8301,2023,,,,5.593075516113534,0.998301,,5.334453751150931,1.1,32.763842428757386,61,False,Iceland,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LTU,['Lithuanian'],2894886,88.5029,2023,2025 Q1 P,161000.0,63.0,6.461631465975109,0.885029,5.20682587603185,5.20682587603185,1.1,32.75408154800106,62,False,Lithuania,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BLZ,"['Belizean Creole', 'English', 'Spanish']",417634,72.3595,2023,,,,5.620795847779911,0.723595,,5.334453751150931,1.5,32.54427358281944,63,False,Belize,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
PRY,"['Guaraní', 'Spanish']",6109644,81.5781,2024,,,,6.786015905276943,0.8157810000000001,,5.334453751150931,1.1,32.48411944510446,64,False,Paraguay,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
DMA,['English'],67408,83.8255,2023,,,,4.828711441782772,0.8382550000000001,,5.334453751150931,1.5,32.38833473558424,65,False,Dominica,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
HRV,['Croatian'],3866233,83.6324,2024,,,,6.587288023403108,0.8363240000000001,,5.334453751150931,1.1,32.32688455601381,66,False,Croatia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CYM,['English'],84738,81.0677,2017,,,,4.928078209497234,0.810677,,5.334453751150931,1.5,31.967351506773106,67,False,Cayman Islands,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BRB,['English'],267800,79.9923,2023,2025 Q1 P,66000.0,166.0,5.42781057267599,0.799923,4.819543935541868,4.819543935541868,1.5,31.388464404061146,68,False,Barbados,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ATG,['English'],103603,77.5756,2023,,,,5.015372331322167,0.7757559999999999,,5.334453751150931,1.5,31.132180249164378,69,False,Antigua and Barbuda,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ALB,['Albanian'],2363314,83.1356,2023,,,,6.373521427687243,0.831356,,5.334453751150931,1.1,31.09203336710145,70,False,Albania,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
