alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,,6.763427993562937,1.5,False,51.066721820676285,76.60008273101442,51.066721820676285,51.066721820676285,1,False,United Kingdom,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,6.763427993562937,6.763427993562937,1.1,False,49.823552554737155,54.805907810210876,49.823552554737155,49.823552554737155,2,False,Spain,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,5.936513742478893,5.936513742478893,1.5,False,47.17585331176332,70.76377996764498,47.17585331176332,47.17585331176332,3,False,United States,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CHN,['Chinese'],1408280000,92.0,2024,,,,9.14868901159969,0.92,,5.334453751150931,0.5,False,44.89899774275796,22.44949887137898,44.89899774275796,44.89899774275796,4,False,China,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,5.9804578922761005,5.9804578922761005,1.1,False,44.295662574870754,48.725228832357836,44.295662574870754,44.295662574870754,5,False,Germany,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,6.380934463330702,6.380934463330702,1.1,False,44.247764212352536,48.67254063358779,44.247764212352536,44.247764212352536,6,False,France,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,6.221414237842339,6.221414237842339,1.1,False,43.131403800370336,47.44454418040738,43.131403800370336,43.131403800370336,7,False,Italy,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,5.831869774280501,5.831869774280501,1.1,False,41.05899856272742,45.16489841900016,41.05899856272742,41.05899856272742,8,False,Netherlands,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
SAU,['Arabic'],35300280,100.0,2024,,,,7.547778150202912,1.0,,5.334453751150931,0.5,False,40.26327346620496,20.13163673310248,40.26327346620496,40.26327346620496,9,False,Saudi Arabia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
KOR,['Korean'],51159889,97.8956,2024,,,,7.708929593532578,0.978956,,5.334453751150931,0.5,False,40.25753748259009,20.128768741295044,40.25753748259009,40.25753748259009,10,False,"Korea, Republic of",,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,5.912222056532415,5.912222056532415,1.1,False,39.66123122548625,43.62735434803488,39.66123122548625,39.66123122548625,11,False,Poland,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,5.457881896733992,5.457881896733992,1.5,False,39.41361264695042,59.12041897042563,39.41361264695042,39.41361264695042,12,False,Australia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
MYS,"['English', 'Malay']",34231700,98.0206,2024,,,,7.534428467419687,0.980206,,5.334453751150931,1.5,False,39.39649856119057,59.09474784178585,39.39649856119057,39.39649856119057,13,False,Malaysia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,5.569373909615046,5.569373909615046,0.5,False,39.27999847422392,19.63999923711196,39.27999847422392,39.27999847422392,14,False,United Arab Emirates,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,5.732393759822968,5.732393759822968,1.1,False,38.828022332293784,42.71082456552317,38.828022332293784,38.828022332293784,15,False,Switzerland,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
THA,['Thai'],65859640,90.8672,2024,2025 Q1 P,255000.0,461.0,7.818619352454832,0.9086719999999999,5.4065401804339555,5.4065401804339555,0.5,False,38.41109172233356,19.20554586116678,38.41109172233356,38.41109172233356,16,False,Thailand,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,5.738780558484369,5.738780558484369,1.1,False,38.13742026419831,41.95116229061814,38.13742026419831,38.13742026419831,17,False,Romania,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,6.039017321997412,6.039017321997412,1.1,False,37.573976836703565,41.33137452037393,37.573976836703565,37.573976836703565,18,False,Portugal,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
