alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,,p10,0.05,4.815572229111593,4.815572229111593,1.0,1.25,1.0,0.75,1.25,False,7.550419974793672,9.43802496849209,7.550419974793672,7.550419974793672,1,False,United Kingdom,,25-05-2025,multi,100.0,132.16699658299655,125.46489355445343,139.15623735105547,3.591943519593231e-52,5.113584351181052e-59,4.0720435200992446e-53,100,0.9,245,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,p10,0.05,4.815572229111593,6.76342806844129,1.0,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,2,False,Spain,,25-05-2025,multi,100.0,88.85122627687637,80.02349250428576,98.11133301605507,4.13393950129658e-32,2.4131828804375613e-41,1.4108147313127166e-33,100,0.9,215,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,p10,0.05,4.815572229111593,6.380934643985607,0.8782767611624652,1.25,1.0,0.75,1.0,False,6.090296533279306,6.090296533279306,6.090296533279306,6.090296533279306,3,False,France,,25-05-2025,multi,100.0,84.26782127662294,78.3227514485893,90.48391844300176,7.7875402582489e-33,4.570309804710202e-38,7.564347275385573e-33,100,0.9,218,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,p10,0.05,4.815572229111593,5.936514245134253,0.7368461197582664,1.25,1.0,0.75,1.25,False,5.855514863938101,7.319393579922626,5.855514863938101,5.855514863938101,4,False,United States,,25-05-2025,multi,100.0,166.72812513783498,154.81657523632194,179.39161992140217,3.7681019527594035e-64,2.2131566773891175e-76,8.991648331635829e-66,100,0.9,247,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,p10,0.05,4.815572229111593,6.221414498679787,0.8275116825886548,1.25,1.0,0.75,1.0,False,5.736917550700415,5.736917550700415,5.736917550700415,5.736917550700415,5,False,Italy,,25-05-2025,multi,100.0,86.67122817852746,81.47149638659633,92.18791218696111,1.6558922926414842e-34,8.471763616538262e-39,3.375860255081092e-34,100,0.9,224,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,p10,0.05,4.815572229111593,5.980458346558794,0.7508307218747924,1.25,1.0,0.75,1.0,False,5.561203657995253,5.561203657995253,5.561203657995253,5.561203657995253,6,False,Germany,,25-05-2025,multi,100.0,115.7455316145584,110.04889030847932,121.96108208582034,9.273975307437554e-47,1.3158256113882387e-51,1.7699474060361247e-46,100,0.9,239,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,False,6.198657361824261,p10,0.05,4.815572229111593,6.198657361824261,0.8202695387304548,1.25,1.0,0.75,0.75,False,4.965583309003473,3.7241874817526046,4.965583309003473,4.965583309003473,7,False,Greece,,25-05-2025,unknown,,50.59242823123988,46.54487421978076,54.864921062465214,7.03127388792576e-20,8.161374471167657e-23,2.843195751082108e-19,100,0.9,177,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,p10,0.05,4.815572229111593,5.831870413888987,0.7035446686766728,1.25,1.0,0.75,1.0,False,4.9532723908557985,4.9532723908557985,4.9532723908557985,4.9532723908557985,8,False,Netherlands,,25-05-2025,multi,100.0,90.46747914777575,86.28745850099982,94.95035691740874,1.0792279092906088e-36,5.509098561751732e-40,2.8958917533619815e-36,100,0.9,227,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,p10,0.05,4.815572229111593,5.912222588104283,0.7291156360914521,1.25,1.0,0.75,1.0,False,4.891159966021486,4.891159966021486,4.891159966021486,4.891159966021486,9,False,Poland,,25-05-2025,unknown,,81.69092773772196,78.09257788463019,85.51053314720309,2.555920285651869e-33,6.241211404869697e-36,9.493738430466649e-33,100,0.9,219,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,False,6.0390177189757335,p10,0.05,4.815572229111593,6.0390177189757335,0.769466431717457,1.25,1.0,0.75,1.0,False,4.787519614600149,4.787519614600149,4.787519614600149,4.787519614600149,10,False,Portugal,,25-05-2025,unknown,,57.056081815751945,53.22839617859675,60.94987334348346,8.878389044800776e-23,2.0643476768566433e-25,4.0681488050525527e-22,100,0.9,185,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
