alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,0.0,6.76342806844129,1.5,False,51.0667223860393,76.60008357905895,51.0667223860393,51.0667223860393,1,False,United Kingdom,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,6.76342806844129,1.1,False,49.82355310633696,54.80590841697066,49.82355310633696,49.82355310633696,2,False,Spain,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,5.936514245134253,1.5,False,47.175857306228174,70.76378595934226,47.175857306228174,47.175857306228174,3,False,United States,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,5.980458346558794,1.1,False,44.295665939621955,48.725232533584155,44.295665939621955,44.295665939621955,4,False,Germany,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,6.380934643985607,1.1,False,44.2477654650806,48.67254201158866,44.2477654650806,44.2477654650806,5,False,France,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,6.221414498679787,1.1,False,43.13140560868672,47.444546169555394,43.13140560868672,43.13140560868672,6,False,Italy,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,5.831870413888987,1.1,False,41.059003065860196,45.16490337244622,41.059003065860196,41.059003065860196,7,False,Netherlands,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,5.912222588104283,1.1,False,39.66123479145427,43.6273582705997,39.66123479145427,39.66123479145427,8,False,Poland,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,False,5.457883409952547,5.457883409952547,1.5,False,39.41362357452472,59.12043536178708,39.41362357452472,39.41362357452472,9,False,Australia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,False,5.569375080218541,5.569375080218541,0.5,False,39.28000673032312,19.64000336516156,39.28000673032312,39.28000673032312,10,False,United Arab Emirates,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
