alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,,p10,0.05,4.815572229111593,4.815572229111593,1.0,1.5,False,7.550419974793672,11.325629962190508,7.550419974793672,7.550419974793672,1,False,United Kingdom,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,p10,0.05,4.815572229111593,6.76342806844129,1.0,1.1,False,7.366612404561193,8.103273645017314,7.366612404561193,7.366612404561193,2,False,Spain,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,p10,0.05,4.815572229111593,6.380934643985607,0.8782767611624652,1.1,False,6.090296533279306,6.699326186607237,6.090296533279306,6.090296533279306,3,False,France,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,p10,0.05,4.815572229111593,5.936514245134253,0.7368461197582664,1.5,False,5.855514863938101,8.783272295907151,5.855514863938101,5.855514863938101,4,False,United States,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,p10,0.05,4.815572229111593,6.221414498679787,0.8275116825886548,1.1,False,5.736917550700415,6.310609305770457,5.736917550700415,5.736917550700415,5,False,Italy,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,p10,0.05,4.815572229111593,5.980458346558794,0.7508307218747924,1.1,False,5.561203657995253,6.117324023794779,5.561203657995253,5.561203657995253,6,False,Germany,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,False,6.198657361824261,p10,0.05,4.815572229111593,6.198657361824261,0.8202695387304548,0.5,False,4.965583309003473,2.4827916545017366,4.965583309003473,4.965583309003473,7,False,Greece,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,p10,0.05,4.815572229111593,5.831870413888987,0.7035446686766728,1.1,False,4.9532723908557985,5.448599629941379,4.9532723908557985,4.9532723908557985,8,False,Netherlands,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,p10,0.05,4.815572229111593,5.912222588104283,0.7291156360914521,1.1,False,4.891159966021486,5.380275962623635,4.891159966021486,4.891159966021486,9,False,Poland,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,False,6.0390177189757335,p10,0.05,4.815572229111593,6.0390177189757335,0.769466431717457,1.1,False,4.787519614600149,5.266271576060165,4.787519614600149,4.787519614600149,10,False,Portugal,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,False,5.732394564071265,p10,0.05,4.815572229111593,5.732394564071265,0.6718878561624164,1.1,False,4.55099174566769,5.00609092023446,4.55099174566769,4.55099174566769,11,False,Switzerland,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,False,5.738781350991824,p10,0.05,4.815572229111593,5.738781350991824,0.6739203627103187,1.1,False,4.478579348932669,4.926437283825937,4.478579348932669,4.478579348932669,12,False,Romania,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,False,5.569375080218541,p10,0.05,4.815572229111593,5.569375080218541,0.6200091615249462,0.5,False,4.372836033985744,2.186418016992872,4.372836033985744,4.372836033985744,13,False,United Arab Emirates,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,False,5.457883409952547,p10,0.05,4.815572229111593,5.457883409952547,0.5845284804452755,1.5,False,4.2211208570062375,6.331681285509356,4.2211208570062375,4.2211208570062375,14,False,Australia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BEL,"['German', 'French', 'Dutch']",11825551,95.7758,2024,2025 Q2 P,322000.0,172.0,7.072821385408543,0.957758,False,5.507857220434364,p10,0.05,4.815572229111593,5.507857220434364,0.6004319540214719,1.1,False,4.067356837353003,4.474092521088304,4.067356837353003,4.067356837353003,15,False,Belgium,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
THA,['Thai'],65859640,90.8672,2024,2025 Q1 P,255000.0,461.0,7.818619352454832,0.9086719999999999,False,5.406541883546231,p10,0.05,4.815572229111593,5.406541883546231,0.5681897502045318,0.5,False,4.036738446849811,2.0183692234249055,4.036738446849811,4.036738446849811,16,False,Thailand,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MAR,"['Arabic', 'Berber']",36828330,91.0,2023,2025 Q1 P,284000.0,213.0,7.566182025989628,0.91,False,5.453319869250268,p10,0.05,4.815572229111593,5.453319869250268,0.583076196773631,0.5,False,4.014611182228045,2.0073055911140223,4.014611182228045,4.014611182228045,17,False,Morocco,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,False,5.513218932257558,p10,0.05,4.815572229111593,5.513218932257558,0.6021382446061049,1.1,False,3.980162836907607,4.378179120598368,3.980162836907607,3.980162836907607,18,False,Austria,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,False,5.429753894477035,p10,0.05,4.815572229111593,5.429753894477035,0.5755766514419861,1.1,False,3.767338784039129,4.144072662443042,3.767338784039129,3.767338784039129,19,False,Hungary,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,False,5.334455761768878,p10,0.05,4.815572229111593,5.334455761768878,0.5452493395805763,1.1,False,3.6877045386670275,4.0564749925337305,3.6877045386670275,3.6877045386670275,20,False,Denmark,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
