trial,seed,eng,euro,other,uk_missing,uk_floor,wrong_at_rank_test,wrong_at_rank_train,correct_overlap_test,correct_overlap_train,incorrect_test_size,incorrect_train_size,correct_test_size,correct_train_size
0,1,1.4695745813892553,1.0143612713064638,0.6082996985653066,p10,0.05,0.0,0.010869565217391304,0,0,8,18,2,2
1,1,1.2110582877913587,0.9087122362724604,0.6108458331365175,p10,0.05,0.0,0.01098901098901099,0,0,8,18,2,2
2,1,1.218943796825286,1.0487436724145551,0.6165422251287863,p10,0.05,0.0,0.0,0,0,8,18,2,2
3,1,1.1154332707704921,0.9656343112013066,0.7298017328688668,p10,0.05,0.02150786308973173,0.01098901098901099,0,0,8,18,2,2
4,1,1.1448908072952428,0.9187889878312865,0.9064469115797726,p10,0.05,0.0,0.010869565217391304,0,0,8,18,2,2
5,1,1.2782271613262166,1.0926883088797337,0.5929531329473589,p10,0.05,0.0,0.0,0,0,8,18,2,2
6,1,1.4962717060880326,1.157983958638587,0.5604449799029032,p10,0.05,0.0,0.010638297872340425,0,0,8,18,2,2
7,1,1.1663475926800646,1.1164453222749804,0.8555958848476398,p10,0.05,0.0,0.011111111111111112,0,0,8,18,2,2
8,1,1.46822029339973,1.0266320999884246,0.9150178466371635,p10,0.05,0.0,0.011111111111111112,0,0,8,18,2,2
9,1,1.3351527832070356,0.9910105532798753,0.7937903030717797,p10,0.05,0.0,0.0,0,0,8,18,2,2
10,1,1.4412395004159289,1.1538592255284938,0.7526419102898002,p10,0.05,0.0,0.0,1,1,8,18,2,2
11,1,1.2945011289912758,0.9103577490454025,0.6213699867715339,p10,0.05,0.0,0.021395881006864986,0,0,8,18,2,2
12,1,1.3987021237771513,1.0242941997902322,0.5865037007895255,p10,0.05,0.0,0.010869565217391304,1,1,8,18,2,2
13,1,1.2743993806940765,1.1109122286196893,0.8372429152511636,p10,0.05,0.02150786308973173,0.011111111111111112,0,0,8,18,2,2
14,1,1.18735151025082,1.0316884890133688,0.7542132441249909,p10,0.05,0.021637426900584796,0.01098901098901099,0,0,8,18,2,2
15,1,1.389221307500073,1.0562815252839435,0.6966275474821131,p10,0.05,0.0,0.0,0,0,8,18,2,2
16,1,1.244846760231129,0.9088724891900721,0.5217436451782638,p10,0.05,0.0,0.010869565217391304,1,1,8,18,2,2
17,1,1.3516910443019179,1.1949563151929021,0.7965918651900288,p10,0.05,0.0,0.0,0,0,8,18,2,2
18,1,1.196799843188957,0.9511047590567044,0.7511192792167416,p10,0.05,0.010752688172043012,0.0,0,0,8,18,2,2
19,1,1.491038318769267,1.1311569419492402,0.7698087242248894,p10,0.05,0.0,0.011111111111111112,0,0,8,18,2,2
20,1,1.4301448894602748,0.9696528384189044,0.7568858315938185,p10,0.05,0.0,0.0,0,0,8,18,2,2
21,1,1.4762336941341347,1.073338442340361,0.7295658659553341,p10,0.05,0.0,0.021279003961516697,0,0,8,18,2,2
22,1,1.1346397387207106,1.0643988928398747,0.9785581407301134,p10,0.05,0.0,0.021515326778484674,0,0,8,18,2,2
23,1,1.135096569784617,1.0028545647251965,0.910242955962741,p10,0.05,0.0,0.0,1,0,8,18,2,2
24,1,1.443089790413004,1.122151023549959,0.9045699504362398,p10,0.05,0.01098901098901099,0.0,0,0,8,18,2,2
25,1,1.259339141761501,1.0684073594335137,0.713045339844075,p10,0.05,0.0,0.0,0,1,8,18,2,2
26,1,1.161003046552992,1.0280616487603702,0.7849996669381901,p10,0.05,0.011111111111111112,0.021627308861351415,0,0,8,18,2,2
27,1,1.0999197100885716,1.051416140228659,0.7424625561138671,p10,0.05,0.0,0.0,0,1,8,18,2,2
28,1,1.178394982272478,1.0038233757054464,0.7692393978689221,p10,0.05,0.021741699161054,0.010638297872340425,0,0,8,18,2,2
29,1,1.3117447263987525,1.0837357394348177,0.7290734000498622,p10,0.05,0.0,0.0,1,1,8,18,2,2
