alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,,6.763427993562937,1.5,True,51.066721820676285,76.60008273101442,51.066721820676285,76.60008273101442,1,False,United Kingdom,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,5.936513742478893,5.936513742478893,1.5,True,47.17585331176332,70.76377996764498,47.17585331176332,70.76377996764498,2,False,United States,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,5.457881896733992,5.457881896733992,1.5,True,39.41361264695042,59.12041897042563,39.41361264695042,59.12041897042563,3,False,Australia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MYS,"['English', 'Malay']",34231700,98.0206,2024,,,,7.534428467419687,0.980206,,5.334453751150931,1.5,True,39.39649856119057,59.09474784178585,39.39649856119057,59.09474784178585,4,False,Malaysia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,6.763427993562937,6.763427993562937,1.1,True,49.823552554737155,54.805907810210876,49.823552554737155,54.805907810210876,5,False,Spain,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
CAN,"['English', 'French']",41651653,93.9564,2023,2025 Q2 P,121000.0,142.0,7.619632241625957,0.9395640000000001,5.08278537031645,5.08278537031645,1.5,True,36.38833214332805,54.58249821499207,36.38833214332805,54.58249821499207,6,False,Canada,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
PHL,"['English', 'Filipino']",114123600,83.7661,2023,,,,8.057375462910338,0.837661,,5.334453751150931,1.5,True,36.004091091817344,54.006136637726016,36.004091091817344,54.006136637726016,7,False,Philippines,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
HKG,"['English', 'Chinese']",7527500,95.9778,2023,,,,6.876650764184797,0.959778,,5.334453751150931,1.5,True,35.207704780833,52.8115571712495,35.207704780833,52.8115571712495,8,False,Hong Kong,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
IRL,"['English', 'Irish']",5458600,96.4974,2023,,,,6.7370812708662235,0.964974,,5.334453751150931,1.5,True,34.67986135631978,52.01979203447968,34.67986135631978,52.01979203447968,9,False,Ireland,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SGP,"['English', 'Chinese', 'Malay', 'Tamil']",6110200,94.3776,2024,,,,6.786055425868549,0.9437760000000001,,5.334453751150931,1.5,True,34.16459571067208,51.246893566008126,34.16459571067208,51.246893566008126,10,False,Singapore,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
